system:index,area,band,class,class_name,.geo
0_0_0,71.99326192352135,classification_1985,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,4.888204592590321,classification_1985,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,3.1103119774169725,classification_1985,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,2.3819634412841775,classification_1985,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.46889471789550763,classification_1985,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,149.73223692151316,classification_1985,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,75.27949077429254,classification_1985,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,152.34546566639239,classification_1985,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,32.35081202648966,classification_1985,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,2.675305309082034,classification_1985,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,0.39056945257568254,classification_1985,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,2.0064382565307617,classification_1985,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.3874636140747069,classification_1985,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,0.05798842590332029,classification_1985,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,0.34466547283935506,classification_1985,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,73.25336973858555,classification_1986,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,5.1699071511840895,classification_1986,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,3.1177491567382627,classification_1986,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,2.3173337667236344,classification_1986,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,0.43493321600341783,classification_1986,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,147.47580182513718,classification_1986,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,75.63641433557154,classification_1986,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,151.52446881189803,classification_1986,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,34.182768186279745,classification_1986,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,2.1447182163085983,classification_1986,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,0.3938809464111317,classification_1986,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,1.948425197326659,classification_1986,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,0.41064812548828106,classification_1986,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,0.05798842590332029,classification_1986,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,0.34466547283935506,classification_1986,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,72.02979237731816,classification_1987,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,5.275944782043504,classification_1987,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,4.004761150390607,classification_1987,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,2.123457634887693,classification_1987,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,0.42664968072509757,classification_1987,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,150.03889805987902,classification_1987,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,76.44996127117948,classification_1987,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,147.3686088341778,classification_1987,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,35.26938449151654,classification_1987,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,1.8400287482299849,classification_1987,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,0.4013290571899403,classification_1987,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,1.9187296008911123,classification_1987,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,0.9316297604370145,classification_1987,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,0.056342021362304665,classification_1987,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,0.27755510217285195,classification_1987,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,65.74960364001164,classification_1988,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,5.462355458740274,classification_1988,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,7.27894937933342,classification_1988,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,1.996693426086428,classification_1988,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,0.394341061645508,classification_1988,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,153.5406658198924,classification_1988,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,76.09852739898663,classification_1988,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,145.60119379944913,classification_1988,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,36.26072466095041,classification_1988,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,1.8440888513793985,classification_1988,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,0.407122198120116,classification_1988,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,2.2027027655639713,classification_1988,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,1.2413784275512703,classification_1988,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,0.05717058251953123,classification_1988,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_14,0.27755510217285195,classification_1988,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,64.15182962969607,classification_1989,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,5.661208056457598,classification_1989,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,6.751405927246046,classification_1989,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,1.8359549184570292,classification_1989,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,0.41256543652343736,classification_1989,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,154.5483367573265,classification_1989,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,76.31295168194605,classification_1989,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,145.56899883387095,classification_1989,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,36.780775010742296,classification_1989,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_9,1.7820547084350584,classification_1989,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_10,0.28467086920165957,classification_1989,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_11,2.227533822509772,classification_1989,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_12,1.7774608372802756,classification_1989,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_13,0.039770980529785165,classification_1989,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_14,0.27755510217285195,classification_1989,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,66.00959548840088,classification_1990,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,5.541901276611376,classification_1990,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,3.8745235953368735,classification_1990,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,1.7845894456787101,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,0.46061651763916,classification_1990,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,151.3302763580413,classification_1990,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,75.73235787896827,classification_1990,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,148.67825797425184,classification_1990,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,37.87224492114371,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,2.1919209123535155,classification_1990,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,0.24247435272216786,classification_1990,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,2.1207480557861342,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,2.291870026733401,classification_1990,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,0.0041406665649414065,classification_1990,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_14,0.27755510217285195,classification_1990,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,63.616701224790035,classification_1991,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,5.565927800476129,classification_1991,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,4.30270231622309,classification_1991,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,1.815248957519532,classification_1991,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
